Wall time,Step,Value
1571055294.8303983,2659,1.0991920232772827
1571055295.0157323,2669,1.307524561882019
1571055295.1433816,2679,1.2444795370101929
1571055295.3140998,2689,1.1178311109542847
1571055295.3815086,2699,1.2293084859848022
1571055295.4390903,2709,1.1833550930023193
1571055295.4925277,2719,1.1158627271652222
1571055295.540289,2729,1.2192699909210205
1571055296.8351257,2739,1.116915225982666
1571055296.9812648,2749,1.2536303997039795
1571055297.0651197,2759,1.1196788549423218
1571055297.2559106,2769,1.1334389448165894
1571055297.3769681,2779,1.2521969079971313
1571055297.4926195,2789,1.0529966354370117
1571055297.5653658,2799,1.3029382228851318
1571055297.6305976,2809,1.2086741924285889
1571055297.716641,2819,1.024681568145752
1571055297.7882516,2829,1.1287853717803955
1571055297.9477708,2839,1.2559690475463867
1571055298.0893986,2849,1.407508373260498
1571055298.2224352,2859,1.2430100440979004
1571055298.4107733,2869,1.1719106435775757
1571055298.526134,2879,1.0835838317871094
1571055298.6624622,2889,1.1526976823806763
1571055298.9054503,2899,1.2730296850204468
1571055299.1915736,2909,1.0720447301864624
1571055299.398143,2919,1.0353782176971436
1571055299.5565472,2929,1.3099364042282104
1571055299.8199704,2939,1.2341705560684204
1571055300.1024141,2949,1.0653704404830933
1571055300.363191,2959,0.9698395729064941
1571055300.6115267,2969,0.9760874509811401
1571055300.842251,2979,1.2847107648849487
1571055301.053281,2989,1.0839828252792358
1571055301.24802,2999,1.2467221021652222
1571055301.446947,3009,1.0906447172164917
1571055301.659289,3019,1.0913866758346558
1571055301.8585098,3029,0.9986758828163147
1571055302.026642,3039,1.1811069250106812
1571055302.171794,3049,1.164283037185669
1571055302.365071,3059,1.0681568384170532
1571055302.5518734,3069,1.1720057725906372
1571055302.640072,3079,0.9916847944259644
1571055302.7980404,3089,0.9395573139190674
1571055302.9607575,3099,1.1593186855316162
1571055303.0457592,3109,0.9985153675079346
1571055303.1277094,3119,0.9880805611610413
1571055306.9106455,3129,1.07881760597229
1571055307.0242827,3139,1.0862358808517456
1571055307.4353857,3149,1.2534154653549194
1571055307.5412164,3159,1.0873427391052246
1571055307.6508129,3169,1.0701996088027954
1571055307.7351427,3179,1.2074967622756958
1571055307.8635612,3189,1.263485312461853
1571055308.0537264,3199,1.11183500289917
1571055308.1528256,3209,1.0564889907836914
1571055308.2754824,3219,1.0789170265197754
1571055308.403922,3229,1.200392246246338
1571055308.5013542,3239,1.1364774703979492
1571055308.6701734,3249,0.9966314435005188
1571055308.7894115,3259,1.1865154504776
1571055308.9581153,3269,1.1619091033935547
1571055309.068324,3279,1.0703210830688477
1571055309.2077658,3289,1.1888878345489502
1571055309.3779187,3299,1.062979817390442
1571055309.5225937,3309,1.1543914079666138
1571055309.714541,3319,1.3148876428604126
1571055309.8357038,3329,1.1497538089752197
1571055310.0087588,3339,0.9204205274581909
1571055310.164574,3349,1.134075403213501
1571055310.3706074,3359,0.9801627397537231
1571055310.5524695,3369,1.0710777044296265
1571055310.7590735,3379,1.1076387166976929
1571055310.8998752,3389,1.1331682205200195
1571055311.0986745,3399,1.1896477937698364
1571055311.292574,3409,1.1005374193191528
1571055311.4603875,3419,1.2417759895324707
1571055311.6174908,3429,0.9382344484329224
1571055311.824547,3439,0.9538633823394775
1571055311.9957035,3449,1.1914176940917969
1571055312.21698,3459,1.098300576210022
1571055312.3699503,3469,0.9525770545005798
1571055312.47731,3479,1.1050868034362793
1571055312.560317,3489,1.0973879098892212
1571055312.640044,3499,1.0108119249343872
1571055312.7110589,3509,0.9864000082015991
1571055314.045384,3519,1.0977996587753296
1571055314.1584873,3529,1.0624197721481323
1571055314.3074183,3539,1.0059823989868164
1571055314.4949174,3549,0.9933038353919983
1571055314.6060393,3559,0.9219606518745422
1571055314.7317624,3569,1.157865285873413
1571055314.8646019,3579,1.015082597732544
1571055314.9399514,3589,1.0683715343475342
1571055315.0268433,3599,0.8417186737060547
1571055315.1032379,3609,0.991890013217926
1571055315.1955054,3619,0.942597508430481
1571055315.2957802,3629,1.1033034324645996
1571055315.3529239,3639,1.1799678802490234
1571055315.4285588,3649,1.0636035203933716
1571055315.498447,3659,0.9474645256996155
1571055315.5858588,3669,1.239483118057251
1571055315.7381763,3679,0.9942689538002014
1571055315.8763878,3689,0.8785972595214844
1571055316.012637,3699,0.9752465486526489
1571055316.1660507,3709,1.193545937538147
1571055316.3396542,3719,0.9098417162895203
1571055316.609802,3729,0.8831930160522461
1571055316.883759,3739,1.0456922054290771
1571055317.1120367,3749,1.2365341186523438
1571055317.3990948,3759,1.021267294883728
1571055317.6889591,3769,0.900915265083313
1571055317.9933484,3779,0.976556122303009
1571055318.3055406,3789,1.1572948694229126
1571055318.5777602,3799,1.0298545360565186
1571055318.9111109,3809,1.1726443767547607
1571055319.1816802,3819,1.0702605247497559
1571055319.424248,3829,1.2022206783294678
1571055319.5427244,3839,0.8684074878692627
1571055319.7271247,3849,1.3271214962005615
1571055319.9169126,3859,1.0735070705413818
1571055320.1078727,3869,1.0667243003845215
1571055320.307128,3879,0.9651117324829102
1571055320.4649847,3889,1.2184641361236572
1571055320.6076262,3899,1.0371211767196655
1571055320.7102797,3909,0.8855355381965637
1571055324.5461674,3919,1.0399703979492188
1571055324.8472054,3929,0.9302087426185608
1571055325.1611998,3939,0.9918742775917053
1571055325.2884722,3949,0.9225163459777832
1571055325.413528,3959,1.0127519369125366
1571055325.544795,3969,1.097778558731079
1571055325.631417,3979,1.1131898164749146
1571055325.7393706,3989,0.9489081501960754
1571055325.8811505,3999,0.9567441344261169
1571055326.0500407,4009,0.9541671872138977
1571055326.2368536,4019,1.0979009866714478
1571055326.4123192,4029,0.8713534474372864
1571055326.5767007,4039,1.067391276359558
1571055326.7680492,4049,1.124267339706421
1571055326.952233,4059,1.0493948459625244
1571055327.2081752,4069,0.9720923900604248
1571055327.370988,4079,0.9934266805648804
1571055327.5116687,4089,0.9806303977966309
1571055327.6510415,4099,1.0153132677078247
1571055327.8698597,4109,0.8809283971786499
1571055328.0499685,4119,1.10334312915802
1571055328.1656296,4129,1.0969154834747314
1571055328.2763643,4139,1.0851970911026
1571055328.4174461,4149,1.1691710948944092
1571055328.5501907,4159,0.9447543621063232
1571055328.6771572,4169,1.2687262296676636
1571055328.8322337,4179,1.0911750793457031
1571055328.936757,4189,0.7744702100753784
1571055329.048207,4199,0.9118086695671082
1571055329.1253576,4209,0.9935938119888306
1571055329.1884487,4219,0.9836221933364868
1571055329.3296773,4229,0.7947332262992859
1571055329.5777636,4239,1.0819134712219238
1571055329.7205424,4249,0.8103522062301636
1571055329.794438,4259,1.041664958000183
1571055329.8684168,4269,1.030173659324646
1571055329.9487298,4279,1.0591630935668945
1571055330.0700645,4289,0.8140698075294495
1571055330.1471202,4299,1.0729228258132935
1571055331.5459282,4309,0.8525824546813965
1571055331.6561766,4319,0.805972695350647
1571055332.0430677,4329,1.0736051797866821
1571055332.1285348,4339,0.9928216338157654
1571055332.2796144,4349,1.0439599752426147
1571055332.4471946,4359,0.953291654586792
1571055332.5406604,4369,1.043229579925537
1571055332.665777,4379,0.9645881652832031
1571055332.810516,4389,1.020169973373413
1571055332.9907613,4399,0.9156417846679688
1571055333.229922,4409,1.0262013673782349
1571055333.4275267,4419,1.0425012111663818
1571055333.624925,4429,0.9529721736907959
1571055333.8172774,4439,1.1256641149520874
1571055333.9204652,4449,1.1027040481567383
1571055334.0901399,4459,0.9099514484405518
1571055334.2968354,4469,0.9256887435913086
1571055334.477386,4479,0.9381849765777588
1571055334.6745017,4489,0.9175997972488403
1571055334.9387982,4499,0.9038558602333069
1571055335.2002428,4509,0.8692010641098022
1571055335.4559948,4519,1.1132062673568726
1571055335.7213945,4529,0.9993815422058105
1571055335.918544,4539,1.0566983222961426
1571055336.1529949,4549,1.1389960050582886
1571055336.296906,4559,0.9213361144065857
1571055336.4398034,4569,0.9853763580322266
1571055336.6383977,4579,1.0138282775878906
1571055336.7976184,4589,0.9650038480758667
1571055336.9875789,4599,1.1405385732650757
1571055337.0963068,4609,1.0300674438476562
1571055337.2966774,4619,0.9407331943511963
1571055337.5575135,4629,0.886003851890564
1571055337.8271773,4639,0.7760170102119446
1571055337.993272,4649,1.0243513584136963
1571055338.1605465,4659,1.121757984161377
1571055338.3686297,4669,1.070195198059082
1571055338.5656576,4679,0.814860463142395
1571055338.8055918,4689,1.0600290298461914
1571055343.3630836,4699,0.853216290473938
1571055343.4478734,4709,0.9555306434631348
1571055343.6685822,4719,0.8861477375030518
1571055343.7295043,4729,1.0046286582946777
1571055343.8390777,4739,1.0147055387496948
1571055343.9857671,4749,1.0536876916885376
1571055344.0827658,4759,1.0150344371795654
1571055344.1675706,4769,1.0033386945724487
1571055344.276168,4779,1.0866276025772095
1571055344.3629324,4789,1.05585777759552
1571055344.516194,4799,0.9698605537414551
1571055344.6414666,4809,1.081533670425415
1571055344.7423596,4819,0.9070420861244202
1571055345.0103204,4829,1.0102077722549438
1571055345.1736896,4839,0.8919306993484497
1571055345.3328555,4849,0.9196378588676453
1571055345.487259,4859,0.8358235359191895
1571055345.6265056,4869,0.9559892416000366
1571055345.757759,4879,1.0924807786941528
1571055346.0149524,4889,0.9614301323890686
1571055346.1607847,4899,0.9728411436080933
1571055346.2902026,4909,0.9077688455581665
1571055346.4210873,4919,0.9691874980926514
1571055346.5592687,4929,1.120322823524475
1571055346.7163837,4939,0.8630667924880981
1571055346.898513,4949,0.9029092788696289
1571055347.09946,4959,1.02903151512146
1571055347.303403,4969,0.8745861053466797
1571055347.418412,4979,0.8671115636825562
1571055347.6654994,4989,0.8918806910514832
